Date,Interest Rate,Equity,Credit,Commodities,Emerging Market,Foreign Currency,Local Inflation,Equity Short Volatility
2000-01-04,0.0022111559544191195,-0.02924028855810512,-0.0013182616428948357,-0.00960402217888845,0.0027260200323850903,0.002135305464433829,-0.0038015474055415055,-0.017892052033211314
2000-01-05,-0.001960617259927133,-0.014000652949460068,-0.0038129261936143966,-0.009657262654579668,-0.009484749655049196,0.0017427166299544912,-0.0026784653270066627,0.0022353460747552845
2000-01-06,-0.00018614845602993313,-0.011386603498309888,0.00031304114878105693,-0.0005097917130907348,-0.007320602324235814,0.0023928632815964604,-0.0010090729537735044,0.0011324463714608157
2000-01-07,0.00017075403342925455,0.022826049774621993,0.0014417892846867453,-0.009861437232936865,0.010552127334992889,-2.4871491585962135e-05,-0.004368698380879277,0.015360523993652286
2000-01-10,-0.0003919378436760823,0.011966134175106724,0.0006247203212184083,0.0067450663608115136,0.014348678059223463,-0.0002530733451210721,-0.00028053302273267633,0.005117107663159537
2000-01-11,-0.0032847782979086304,-0.004152420491021047,-0.0025336984854213984,0.018959004422274717,-0.01217723970524398,0.002542597249117299,-0.0033185784971454524,-0.0032176163520531986
2000-01-12,-0.00223731304626007,-0.005463182225777352,-0.0004112900642549988,0.011788884550622214,0.000583513476619224,-0.00039945558951674293,0.0012036175154692685,-0.0008346767748896866
2000-01-13,0.002501822131816489,0.009227976919921055,0.002084510948120233,0.007111076826715745,0.010407610393116329,0.002336653987005691,0.00011982496193319037,0.005274558054251699
2000-01-14,-0.005834481677296388,0.008788916101289956,3.244458085238655e-05,0.02467709898365733,0.007158801046459828,-0.0021636673883293897,-0.0011022469453445538,0.003722764344011864
2000-01-18,-0.0023305210143735877,-0.0063761541069018435,-0.0007283452198953988,0.018541978846323026,0.007726443128290406,0.00022803023847207675,-0.005390474216292684,0.00016225074265285855
2000-01-19,0.000780744936335509,-0.004861255304827949,0.0011327887351602062,0.004979783746722255,-0.010232526353494809,3.280641861646323e-05,0.0003072557070709081,0.001118813201954616
2000-01-20,-0.0005013993769864555,-0.003774041501094949,7.069286587935153e-05,0.006847827452486577,-0.0009473812117186675,0.0005963095172868944,0.0003364105845156118,0.0009071030021852167
2000-01-21,0.0008092839835143195,-0.0032763754754876473,0.0008432683886128167,0.0007380492035089503,-0.001749784986918801,-0.002442420984379187,0.0017538430877821476,-0.00019430995737756973
2000-01-24,0.0003765936045754259,-0.013366468117242292,0.002694116835485927,-0.008275857480434468,0.0007004609241016979,-0.00024072853195789397,-0.00038291286261848967,-0.014698350275407002
2000-01-25,0.0027200784792826838,-0.003913301028722671,0.00030511888546347343,0.0108657530710774,-0.008039606985421166,-0.0004587096084753242,0.0020957272035184715,0.005212357520520072
2000-01-26,-0.0018500722750127707,0.001989136911696221,0.001467597975453483,-0.011599288949968312,0.0016646872816248326,-0.0012601770535485988,0.0003251225295044513,-0.0012105152710786271
2000-01-27,-0.0048088576614100376,0.0013137193890999654,5.298697622335702e-05,-0.007728935248294988,0.0012440393073100964,-0.0008226638055737426,-0.0012842095180118918,-0.001654558192782929
2000-01-28,-0.0039197546742988365,-0.016283044403240687,0.0005913354756414968,-0.0027755040905050876,-0.00553102364775393,-0.002471566825518428,-0.002568033422128302,-0.02080750957281996
2000-01-31,-0.0029976885751228366,0.0018292593502122756,-0.000826238289065806,0.00939391870147066,-0.007192640741498391,0.0004903683524335065,0.003423772333709163,0.017934203871392107
2000-02-01,-0.0007448690521068002,0.007898594024809746,0.004988158064138215,0.014294164110321361,0.004488965980528725,-0.00036670107033419684,0.0004819256619366108,0.008464844695947882
2000-02-02,-0.001611730000092848,0.005699941884789617,-0.002352162323941087,-0.011721942716236278,0.004655272730144766,0.0003174406342361583,0.005209267788397476,0.0006030625982438309
